model_name,split,samples,mse_cm2,mae_cm,rmse_cm,bias_cm
augmented_finetune,test,673,127.9659828909222,8.925830047398835,11.3122050410573,2.490591450471012
unaugmented_finetune,test,673,132.96746124964895,9.691827439120837,11.531151774634179,-2.5617843769952073
