Epoch,Train_MSE,Val_MSE,Train_Samples,Val_Samples
1,3602.9618054396615,577.9533602627841,5442,605
2,1282.6359227133867,426.4496465509588,5442,605
3,1179.1367068839222,354.59340714383717,5442,605
4,1118.2481426111437,307.5930763181576,5442,605
5,1092.7513658887365,345.2555445647437,5442,605
Average,1655.1467887073704,402.36900696809624,5442,605
Final,320.0252644722184,345.2555445647437,5442,605
Test,287.4287843973463,,,673
