Epoch,Train_MSE,Val_MSE
1,223.41475841936128,147.79039051658228
2,183.8850266800598,130.32373197455155
3,172.85809404479443,135.03122791491057
4,156.00759754572445,154.2638363085295
5,134.72766967952427,137.37880606400338
