Epoch,Train_MSE,Val_MSE,Train_Samples,Val_Samples
1,3792.8628958043523,681.9340799126743,5442,605
2,1580.0263428721346,520.6992378676233,5442,605
3,1433.606948510464,466.41097936709065,5442,605
4,1357.1449724258373,398.8360092289192,5442,605
5,1306.9653838023416,361.0541668348076,5442,605
Average,1894.121308683026,485.786894642223,5442,605
Test,297.8015630248751,,,673
