Epoch,Train_MSE,Val_MSE
1,217.82251554919827,170.4821618732653
2,189.880211525299,156.4995486610814
3,183.5650441010327,142.38374690005654
4,160.35914463032026,145.46820991917662
5,139.0094307314965,151.68900118376078
3, test,134.64
